,country,athlete_name,sport_name,event_name,medal_type
5,中国,ZHU Yaming,田径;ATH;,男子三级跳远,银牌
6,巴林,GEZAHEGNE Kalkidan,田径;ATH;,女子10000米,银牌
7,牙买加,FRASER-PRYCE Shelly-Ann,田径;ATH;,女子100米,银牌
8,美国,HARRISON Kendra,田径;ATH;,女子100米跨栏,银牌
9,英国,MUIR Laura,田径;ATH;,女子1500米,银牌
10,纳米比亚,MBOMA Christine,田径;ATH;,女子200米,银牌
11,哥伦比亚,ARENAS Sandra Lorena,田径;ATH;,女子20公里竞走,银牌
12,美国,FRERICHS Courtney,田径;ATH;,女子3000米障碍赛,银牌
13,多米尼加,PAULINO Marileidy,田径;ATH;,女子400米,银牌
14,美国,MUHAMMAD Dalilah,田径;ATH;,女子400米跨栏,银牌
15,美国,DANIELS Teahna,田径;ATH;,女子 4 x 100米接力,银牌
16,美国,GARDNER English,田径;ATH;,女子 4 x 100米接力,银牌
17,美国,HOBBS Aleia,田径;ATH;,女子 4 x 100米接力,银牌
18,美国,OLIVER Javianne,田径;ATH;,女子 4 x 100米接力,银牌
19,美国,PRANDINI Jenna,田径;ATH;,女子 4 x 100米接力,银牌
0,美国,THOMAS Gabrielle,田径;ATH;,女子 4 x 100米接力,银牌
1,波兰,BAUMGART-WITAN Iga,田径;ATH;,女子 4 x 400米接力,银牌
2,波兰,HOLUB-KOWALIK Malgorzata,田径;ATH;,女子 4 x 400米接力,银牌
3,波兰,KACZMAREK Natalia,田径;ATH;,女子 4 x 400米接力,银牌
4,波兰,KIELBASINSKA Anna,田径;ATH;,女子 4 x 400米接力,银牌
5,波兰,SWIETY-ERSETIC Justyna,田径;ATH;,女子 4 x 400米接力,银牌
6,肯尼亚,OBIRI Hellen,田径;ATH;,女子5000米,银牌
7,英国,HODGKINSON Keely,田径;ATH;,女子800米,银牌
8,德国,PUDENZ Kristin,田径;ATH;,女子铁饼,银牌
9,中国,WANG Zheng,田径;ATH;,女子链球,银牌
10,荷兰,VETTER Anouk,田径;ATH;,女子七项全能,银牌
11,澳大利亚,McDERMOTT Nicola,田径;ATH;,女子跳高,银牌
12,波兰,ANDREJCZYK Maria,田径;ATH;,女子标枪,银牌
13,美国,REESE Brittney,田径;ATH;,女子跳远,银牌
14,肯尼亚,KOSGEI Brigid,田径;ATH;,女子马拉松,银牌
15,ROC,SIDOROVA Anzhelika,田径;ATH;,女子撑竿跳高,银牌
16,美国,SAUNDERS Raven,田径;ATH;,女子铅球,银牌
17,葡萄牙,MAMONA Patricia,田径;ATH;,女子三级跳远,银牌
18,多米尼加,FELIZ Lidio Andres,田径;ATH;,混合4 x 400米接力,银牌
19,多米尼加,MEDINA VENTURA Anabel,田径;ATH;,混合4 x 400米接力,银牌
0,多米尼加,OGANDO Alexander,田径;ATH;,混合4 x 400米接力,银牌
1,多米尼加,PAULINO Marileidy,田径;ATH;,混合4 x 400米接力,银牌
2,多米尼加,SANTOS Luguelin,田径;ATH;,混合4 x 400米接力,银牌
3,中国,LI Jun Hui,羽毛球;BDM;,男子双打,银牌
4,中国,LIU Yu Chen,羽毛球;BDM;,男子双打,银牌
5,中国,CHEN Long,羽毛球;BDM;,男子单打,银牌
6,中国,CHEN Qing Chen,羽毛球;BDM;,女子双打,银牌
7,中国,JIA Yi Fan,羽毛球;BDM;,女子双打,银牌
8,中华台北,TAI Tzu-Ying,羽毛球;BDM;,女子单打,银牌
9,中国,HUANG Ya Qiong,羽毛球;BDM;,混合双打,银牌
10,中国,ZHENG Si Wei,羽毛球;BDM;,混合双打,银牌
11,美国,ALLEN Nick,棒球/垒球;BSB;,棒球,银牌
12,美国,ALVAREZ Eddy,棒球/垒球;BSB;,棒球,银牌
13,美国,AUSTIN Tyler,棒球/垒球;BSB;,棒球,银牌
14,美国,BAZ Shane,棒球/垒球;BSB;,棒球,银牌
15,美国,CARTER Anthony,棒球/垒球;BSB;,棒球,银牌
16,美国,CASAS Triston,棒球/垒球;BSB;,棒球,银牌
17,美国,DICKSON Brandon,棒球/垒球;BSB;,棒球,银牌
18,美国,FEDEROWICZ Tim,棒球/垒球;BSB;,棒球,银牌
19,美国,FILIA Eric,棒球/垒球;BSB;,棒球,银牌
0,美国,FRAZIER Todd,棒球/垒球;BSB;,棒球,银牌
1,美国,GOSE Anthony,棒球/垒球;BSB;,棒球,银牌
2,美国,JACKSON JR Edwin,棒球/垒球;BSB;,棒球,银牌
3,美国,KAZMIR Scott,棒球/垒球;BSB;,棒球,银牌
4,美国,KIVLEHAN Patrick,棒球/垒球;BSB;,棒球,银牌
5,美国,KOLOZSVARY Mark,棒球/垒球;BSB;,棒球,银牌
6,美国,LOPEZ Jack,棒球/垒球;BSB;,棒球,银牌
7,美国,MARTINEZ Nick,棒球/垒球;BSB;,棒球,银牌
8,美国,McGOUGH Scott,棒球/垒球;BSB;,棒球,银牌
9,美国,ROBERTSON David,棒球/垒球;BSB;,棒球,银牌
10,美国,RYAN Joe,棒球/垒球;BSB;,棒球,银牌
11,美国,RYAN Ryder,棒球/垒球;BSB;,棒球,银牌
12,美国,STARLING Bubba,棒球/垒球;BSB;,棒球,银牌
13,美国,WESTBROOK Jamie,棒球/垒球;BSB;,棒球,银牌
14,美国,WOODS RICHARDSON Simeon,棒球/垒球;BSB;,棒球,银牌
15,美国,ABBOTT Monica,棒球/垒球;BSB;,垒球,银牌
16,美国,AGUILAR Ali,棒球/垒球;BSB;,垒球,银牌
17,美国,ARIOTO Valerie,棒球/垒球;BSB;,垒球,银牌
18,美国,CARDA Ally,棒球/垒球;BSB;,垒球,银牌
19,美国,CHIDESTER Amanda,棒球/垒球;BSB;,垒球,银牌
0,美国,GARCIA Rachel,棒球/垒球;BSB;,垒球,银牌
1,美国,Mc CLENEY Haylie,棒球/垒球;BSB;,垒球,银牌
2,美国,MOULTRIE Michelle,棒球/垒球;BSB;,垒球,银牌
3,美国,MULIPOLA Dejah,棒球/垒球;BSB;,垒球,银牌
4,美国,MUNRO Aubree,棒球/垒球;BSB;,垒球,银牌
5,美国,NICKLES Bubba,棒球/垒球;BSB;,垒球,银牌
6,美国,OSTERMAN Cat,棒球/垒球;BSB;,垒球,银牌
7,美国,REED Janie,棒球/垒球;BSB;,垒球,银牌
8,美国,SPAULDING Delaney,棒球/垒球;BSB;,垒球,银牌
9,美国,STEWART Kelsey,棒球/垒球;BSB;,垒球,银牌
10,法国,ALBICY Andrew,篮球;BKB;,男子组,银牌
11,法国,BATUM Nicolas,篮球;BKB;,男子组,银牌
12,法国,CORNELIE Petr,篮球;BKB;,男子组,银牌
13,法国,de COLO Nando,篮球;BKB;,男子组,银牌
14,法国,FALL Moustapha,篮球;BKB;,男子组,银牌
15,法国,FOURNIER Evan,篮球;BKB;,男子组,银牌
16,法国,GOBERT Rudy,篮球;BKB;,男子组,银牌
17,法国,HEURTEL Thomas,篮球;BKB;,男子组,银牌
18,法国,LUWAWU CABARROT Timothe,篮球;BKB;,男子组,银牌
19,法国,NTILIKINA Frank,篮球;BKB;,男子组,银牌
0,法国,POIRIER Vincent,篮球;BKB;,男子组,银牌
1,法国,YABUSELE Guerschon,篮球;BKB;,男子组,银牌
2,日本,AKAHO Himawari,篮球;BKB;,女子组,银牌
3,日本,HAYASHI Saki,篮球;BKB;,女子组,银牌
4,日本,MACHIDA Rui,篮球;BKB;,女子组,银牌
5,日本,MAWULI Evelyn,篮球;BKB;,女子组,银牌
6,日本,MIYAZAKI Saori,篮球;BKB;,女子组,银牌
7,日本,MIYAZAWA Yuki,篮球;BKB;,女子组,银牌
8,日本,MIYOSHI Naho,篮球;BKB;,女子组,银牌
9,日本,MOTOHASHI Nako,篮球;BKB;,女子组,银牌
10,日本,NAGAOKA Moeko,篮球;BKB;,女子组,银牌
11,日本,OKOYE Monica,篮球;BKB;,女子组,银牌
12,日本,TAKADA Maki,篮球;BKB;,女子组,银牌
13,日本,TODO Nanako,篮球;BKB;,女子组,银牌
14,ROC,KRASILNIKOV Viacheslav,沙滩排球;VBV;,男子组,银牌
15,ROC,STOYANOVSKIY Oleg,沙滩排球;VBV;,男子组,银牌
16,澳大利亚,ARTACHO del SOLAR Mariafe,沙滩排球;VBV;,女子组,银牌
17,澳大利亚,CLANCY Taliqua,沙滩排球;VBV;,女子组,银牌
18,菲律宾,PAALAM Carlo,拳击;BOX;,男子蝇量级(48-52公斤),银牌
19,美国,RAGAN Duke,拳击;BOX;,男子羽量级(52-57公斤),银牌
0,美国,DAVIS Keyshawn,拳击;BOX;,男子轻量级(57-63公斤),银牌
1,英国,McCORMACK Pat,拳击;BOX;,男子沉量级(63-69公斤),银牌
2,乌克兰,KHYZHNIAK Oleksandr,拳击;BOX;,男子中量级(69-75公斤),银牌
3,英国,WHITTAKER Benjamin,拳击;BOX;,男子轻重量级(75-81公斤),银牌
4,ROC,GADZHIMAGOMEDOV Muslim,拳击;BOX;,男子重量级(81-91公斤),银牌
5,美国,TORREZ JR Richard,拳击;BOX;,男子超重量级(91公斤以上),银牌
6,土耳其,CAKIROGLU Buse Naz,拳击;BOX;,女子蝇量级(48-51公斤),银牌
7,菲律宾,PETECIO Nesthy,拳击;BOX;,女子羽量级(54-57公斤),银牌
8,巴西,FERREIRA Beatriz,拳击;BOX;,女子轻量级(57-60公斤),银牌
9,中国,GU Hong,拳击;BOX;,女子沉量级(64-69公斤),银牌
10,中国,LI Qian,拳击;BOX;,女子中量级(69-75公斤),银牌
11,捷克,ROHAN Lukas,激流皮划艇;CSL;,男子划艇,银牌
12,斯洛伐克,GRIGAR Jakub,激流皮划艇;CSL;,男子皮艇,银牌
13,英国,FRANKLIN Mallory,激流皮划艇;CSL;,女子划艇,银牌
14,西班牙,CHOURRAUT Maialen,激流皮划艇;CSL;,女子皮艇,银牌
15,中国,LIU Hao,静水皮划艇;CSP;,男子1000米单人划艇,银牌
16,中国,LIU Hao,静水皮划艇;CSP;,男子1000米双人划艇,银牌
17,中国,ZHENG Pengfei,静水皮划艇;CSP;,男子1000米双人划艇,银牌
18,匈牙利,VARGA Adam,静水皮划艇;CSP;,男子1000米单人皮艇,银牌
19,意大利,RIZZA Manfredi,静水皮划艇;CSP;,男子200米单人皮艇,银牌
0,德国,HOFF Max,静水皮划艇;CSP;,男子1000米双人皮艇,银牌
1,德国,SCHOPF Jacob,静水皮划艇;CSP;,男子1000米双人皮艇,银牌
2,西班牙,AREVALO Carlos,静水皮划艇;CSP;,男子500米四人皮艇,银牌
3,西班牙,CRAVIOTTO Saul,静水皮划艇;CSP;,男子500米四人皮艇,银牌
4,西班牙,GERMADE Rodrigo,静水皮划艇;CSP;,男子500米四人皮艇,银牌
5,西班牙,WALZ Marcus,静水皮划艇;CSP;,男子500米四人皮艇,银牌
6,加拿大,VINCENT-LAPOINTE Laurence,静水皮划艇;CSP;,女子200米单人划艇,银牌
7,乌克兰,CHETVERIKOVA Anastasiia,静水皮划艇;CSP;,女子500米双人划艇,银牌
8,乌克兰,LUZAN Liudmyla,静水皮划艇;CSP;,女子500米双人划艇,银牌
9,西班牙,PORTELA Teresa,静水皮划艇;CSP;,女子200米单人皮艇,银牌
10,匈牙利,CSIPES Tamara,静水皮划艇;CSP;,女子500米单人皮艇,银牌
11,波兰,NAJA Karolina,静水皮划艇;CSP;,女子500米双人皮艇,银牌
12,波兰,PULAWSKA Anna,静水皮划艇;CSP;,女子500米双人皮艇,银牌
13,白俄罗斯,KHUDZENKA Volha,静水皮划艇;CSP;,女子500米四人皮艇,银牌
14,白俄罗斯,LITVINCHUK Maryna,静水皮划艇;CSP;,女子500米四人皮艇,银牌
15,白俄罗斯,MAKHNEVA Marharyta,静水皮划艇;CSP;,女子500米四人皮艇,银牌
16,白俄罗斯,PAPOK Nadzeya,静水皮划艇;CSP;,女子500米四人皮艇,银牌
17,委内瑞拉,DHERS Daniel,自由式小轮车;BMF;,男子公园赛,银牌
18,美国,ROBERTS Hannah,自由式小轮车;BMF;,女子公园赛,银牌
19,英国,WHYTE Kye,竞速小轮车;BMX;,男子组,银牌
0,哥伦比亚,PAJON Mariana,竞速小轮车;BMX;,女子组,银牌
1,瑞士,FLUECKIGER Mathias,山地自行车;MTB;,男子越野赛,银牌
2,瑞士,FREI Sina,山地自行车;MTB;,女子越野赛,银牌
3,比利时,van AERT Wout,公路自行车;CRD;,男子公路赛,银牌
4,荷兰,DUMOULIN Tom,公路自行车;CRD;,男子个人计时赛,银牌
5,荷兰,van VLEUTEN Annemiek,公路自行车;CRD;,女子公路赛,银牌
6,瑞士,REUSSER Marlen,公路自行车;CRD;,女子个人计时赛,银牌
7,马来西亚,AWANG Mohd Azizulhasni,场地自行车;CTR;,男子凯林赛,银牌
8,英国,HAYTER Ethan,场地自行车;CTR;,男子麦迪逊赛,银牌
9,英国,WALLS Matthew,场地自行车;CTR;,男子麦迪逊赛,银牌
10,新西兰,STEWART Campbell,场地自行车;CTR;,男子全能赛,银牌
11,丹麦,HANSEN Lasse Norman,场地自行车;CTR;,男子团体追逐赛,银牌
12,丹麦,LARSEN Niklas,场地自行车;CTR;,男子团体追逐赛,银牌
13,丹麦,MADSEN Frederik,场地自行车;CTR;,男子团体追逐赛,银牌
14,丹麦,PEDERSEN Rasmus,场地自行车;CTR;,男子团体追逐赛,银牌
15,荷兰,HOOGLAND Jeffrey,场地自行车;CTR;,男子争先赛,银牌
16,英国,CARLIN Jack,场地自行车;CTR;,男子团体争先赛,银牌
17,英国,KENNY Jason,场地自行车;CTR;,男子团体争先赛,银牌
18,英国,OWENS Ryan,场地自行车;CTR;,男子团体争先赛,银牌
19,新西兰,ANDREWS Ellesse,场地自行车;CTR;,女子凯林赛,银牌
0,丹麦,DIDERIKSEN Amalie,场地自行车;CTR;,女子麦迪逊赛,银牌
1,丹麦,LETH Julie,场地自行车;CTR;,女子麦迪逊赛,银牌
2,日本,KAJIHARA Yumi,场地自行车;CTR;,女子全能赛,银牌
3,英国,ARCHIBALD Katie,场地自行车;CTR;,女子团体追逐赛,银牌
4,英国,BARKER Elinor,场地自行车;CTR;,女子团体追逐赛,银牌
5,英国,EVANS Neah,场地自行车;CTR;,女子团体追逐赛,银牌
6,英国,KENNY Laura,场地自行车;CTR;,女子团体追逐赛,银牌
7,英国,KNIGHT Josie,场地自行车;CTR;,女子团体追逐赛,银牌
8,乌克兰,STARIKOVA Olena,场地自行车;CTR;,女子争先赛,银牌
9,德国,FRIEDRICH Lea Sophie,场地自行车;CTR;,女子团体争先赛,银牌
10,德国,HINZE Emma,场地自行车;CTR;,女子团体争先赛,银牌
11,中国,YANG Jian,跳水;DIV;,男子10米跳台跳水,银牌
12,中国,CAO Yuan,跳水;DIV;,男子双人10米跳台跳水,银牌
13,中国,CHEN Aisen,跳水;DIV;,男子双人10米跳台跳水,银牌
14,中国,WANG Zongyuan,跳水;DIV;,男子3米跳板跳水,银牌
15,美国,CAPOBIANCO Andrew,跳水;DIV;,男子双人3米跳板跳水,银牌
16,美国,HIXON Michael,跳水;DIV;,男子双人3米跳板跳水,银牌
17,中国,CHEN Yuxi,跳水;DIV;,女子10米跳台跳水,银牌
18,美国,PARRATTO Jessica,跳水;DIV;,女子双人10米跳台跳水,银牌
19,美国,SCHNELL Delaney,跳水;DIV;,女子双人10米跳台跳水,银牌
0,中国,WANG Han,跳水;DIV;,女子3米跳板跳水,银牌
1,加拿大,ABEL Jennifer,跳水;DIV;,女子双人3米跳板跳水,银牌
2,加拿大,CITRINI BEAULIEU Melissa,跳水;DIV;,女子双人3米跳板跳水,银牌
3,德国,WERTH Isabell,马术;EQU;,盛装舞步个人赛,银牌
4,美国,LYLE Adrienne,马术;EQU;,盛装舞步团体赛,银牌
5,美国,PETERS Steffen,马术;EQU;,盛装舞步团体赛,银牌
6,美国,SCHUT-KERY Sabine,马术;EQU;,盛装舞步团体赛,银牌
7,英国,McEWEN Tom,马术;EQU;,三项赛个人赛,银牌
8,澳大利亚,HOY Andrew,马术;EQU;,三项赛团体赛,银牌
9,澳大利亚,McNAB Kevin,马术;EQU;,三项赛团体赛,银牌
10,澳大利亚,ROSE Shane,马术;EQU;,三项赛团体赛,银牌
11,瑞典,FREDRICSON Peder,马术;EQU;,场地障碍个人赛,银牌
12,美国,KRAUT Laura,马术;EQU;,场地障碍团体赛,银牌
13,美国,SPRINGSTEEN Jessica,马术;EQU;,场地障碍团体赛,银牌
14,美国,WARD McLain,马术;EQU;,场地障碍团体赛,银牌
15,匈牙利,SIKLOSI Gergely,击剑;FEN;,男子个人重剑,银牌
16,意大利,GAROZZO Daniele,击剑;FEN;,男子个人花剑,银牌
17,意大利,SAMELE Luigi,击剑;FEN;,男子个人佩剑,银牌
18,ROC,BIDA Sergey,击剑;FEN;,男子团体重剑,银牌
19,ROC,GLAZKOV Nikita,击剑;FEN;,男子团体重剑,银牌
0,ROC,KHODOS Sergey,击剑;FEN;,男子团体重剑,银牌
1,ROC,SUKHOV Pavel,击剑;FEN;,男子团体重剑,银牌
2,ROC,BORODACHEV Anton,击剑;FEN;,男子团体花剑,银牌
3,ROC,BORODACHEV Kirill,击剑;FEN;,男子团体花剑,银牌
4,ROC,MYLNIKOV Vladislav,击剑;FEN;,男子团体花剑,银牌
5,ROC,SAFIN Timur,击剑;FEN;,男子团体花剑,银牌
6,意大利,BERRE' Enrico,击剑;FEN;,男子团体佩剑,银牌
7,意大利,CURATOLI Luca,击剑;FEN;,男子团体佩剑,银牌
8,意大利,MONTANO Aldo,击剑;FEN;,男子团体佩剑,银牌
9,意大利,SAMELE Luigi,击剑;FEN;,男子团体佩剑,银牌
10,罗马尼亚,POPESCU Ana Maria,击剑;FEN;,女子个人重剑,银牌
11,ROC,DERIGLAZOVA Inna,击剑;FEN;,女子个人花剑,银牌
12,ROC,VELIKAYA Sofya,击剑;FEN;,女子个人佩剑,银牌
13,韩国,CHOI Injeong,击剑;FEN;,女子团体重剑,银牌
14,韩国,KANG Young Mi,击剑;FEN;,女子团体重剑,银牌
15,韩国,LEE Hyein,击剑;FEN;,女子团体重剑,银牌
16,韩国,SONG Sera,击剑;FEN;,女子团体重剑,银牌
17,法国,BLAZE Anita,击剑;FEN;,女子团体花剑,银牌
18,法国,GUYART Astrid,击剑;FEN;,女子团体花剑,银牌
19,法国,RANVIER Pauline,击剑;FEN;,女子团体花剑,银牌
0,法国,THIBUS Ysaora,击剑;FEN;,女子团体花剑,银牌
1,法国,BALZER Sara,击剑;FEN;,女子团体佩剑,银牌
2,法国,BERDER Cecilia,击剑;FEN;,女子团体佩剑,银牌
3,法国,BRUNET Manon,击剑;FEN;,女子团体佩剑,银牌
4,法国,LEMBACH Charlotte,击剑;FEN;,女子团体佩剑,银牌
5,西班牙,ASENSIO Marco,足球;FBL;,男子组,银牌
6,西班牙,CEBALLOS Dani,足球;FBL;,男子组,银牌
7,西班牙,CUCURELLA Marc,足球;FBL;,男子组,银牌
8,西班牙,FERNANDEZ Alvaro,足球;FBL;,男子组,银牌
9,西班牙,GARCIA Eric,足球;FBL;,男子组,银牌
10,西班牙,GIL Bryan,足球;FBL;,男子组,银牌
11,西班牙,GIL Oscar,足球;FBL;,男子组,银牌
12,西班牙,GONZALEZ Pedri,足球;FBL;,男子组,银牌
13,西班牙,MERINO Mikel,足球;FBL;,男子组,银牌
14,西班牙,MINGUEZA Oscar,足球;FBL;,男子组,银牌
15,西班牙,MIR Rafa,足球;FBL;,男子组,银牌
16,西班牙,MIRANDA Juan,足球;FBL;,男子组,银牌
17,西班牙,MONCAYOLA Jon,足球;FBL;,男子组,银牌
18,西班牙,OLMO Dani,足球;FBL;,男子组,银牌
19,西班牙,OYARZABAL Mikel,足球;FBL;,男子组,银牌
0,西班牙,PUADO Javier,足球;FBL;,男子组,银牌
1,西班牙,SIMON Unai,足球;FBL;,男子组,银牌
2,西班牙,SOLER Carlos,足球;FBL;,男子组,银牌
3,西班牙,TORRES Pau,足球;FBL;,男子组,银牌
4,西班牙,VALLEJO Jesus,足球;FBL;,男子组,银牌
5,西班牙,VILLAR Ivan,足球;FBL;,男子组,银牌
6,西班牙,ZUBIMENDI Martin,足球;FBL;,男子组,银牌
7,瑞典,ANDERSSON Jonna,足球;FBL;,女子组,银牌
8,瑞典,ANGELDAL Filippa,足球;FBL;,女子组,银牌
9,瑞典,ANVEGARD Anna,足球;FBL;,女子组,银牌
10,瑞典,ASLLANI Kosovare,足球;FBL;,女子组,银牌
11,瑞典,BENNISON Hanna,足球;FBL;,女子组,银牌
12,瑞典,BJORN Nathalie,足球;FBL;,女子组,银牌
13,瑞典,BLACKSTENIUS Stina,足球;FBL;,女子组,银牌
14,瑞典,BLOMQVIST Rebecka,足球;FBL;,女子组,银牌
15,瑞典,ERIKSSON Magdalena,足球;FBL;,女子组,银牌
16,瑞典,FALK Jennifer,足球;FBL;,女子组,银牌
17,瑞典,GLAS Hanna,足球;FBL;,女子组,银牌
18,瑞典,HURTIG Lina,足球;FBL;,女子组,银牌
19,瑞典,ILESTEDT Amanda,足球;FBL;,女子组,银牌
0,瑞典,JAKOBSSON Sofia,足球;FBL;,女子组,银牌
1,瑞典,JANOGY Madelen,足球;FBL;,女子组,银牌
2,瑞典,KULLBERG Emma,足球;FBL;,女子组,银牌
3,瑞典,LINDAHL Hedvig,足球;FBL;,女子组,银牌
4,瑞典,MUSOVIC Zecira,足球;FBL;,女子组,银牌
5,瑞典,RODDAR Julia,足球;FBL;,女子组,银牌
6,瑞典,ROLFO Fridolina,足球;FBL;,女子组,银牌
7,瑞典,SCHOUGH Olivia,足球;FBL;,女子组,银牌
8,瑞典,SEGER Caroline,足球;FBL;,女子组,银牌
9,斯洛伐克,SABBATINI Rory,高尔夫;GLF;,男子个人比杆赛,银牌
10,日本,INAMI Mone,高尔夫;GLF;,女子个人比杆赛,银牌
11,丹麦,ANDERSSON Lasse,手球;HBL;,男子组,银牌
12,丹麦,GIDSEL Mathias,手球;HBL;,男子组,银牌
13,丹麦,HANSEN Johan,手球;HBL;,男子组,银牌
14,丹麦,HANSEN Mikkel,手球;HBL;,男子组,银牌
15,丹麦,HOLM Jacob,手球;HBL;,男子组,银牌
16,丹麦,JAKOBSEN Emil,手球;HBL;,男子组,银牌
17,丹麦,LANDIN Magnus,手球;HBL;,男子组,银牌
18,丹麦,LANDIN Niklas,手球;HBL;,男子组,银牌
19,丹麦,MENSAH Mads,手球;HBL;,男子组,银牌
0,丹麦,MOELLER Kevin,手球;HBL;,男子组,银牌
1,丹麦,MOELLGAARD Henrik,手球;HBL;,男子组,银牌
2,丹麦,OLSEN Morten,手球;HBL;,男子组,银牌
3,丹麦,SAUGSTRUP Magnus,手球;HBL;,男子组,银牌
4,丹麦,SVAN Lasse,手球;HBL;,男子组,银牌
5,丹麦,TOFT HANSEN Henrik,手球;HBL;,男子组,银牌
6,ROC,BOBROVNIKOVA Vladlena,手球;HBL;,女子组,银牌
7,ROC,DMITRIEVA Daria,手球;HBL;,女子组,银牌
8,ROC,FOMINA Olga,手球;HBL;,女子组,银牌
9,ROC,GORSHKOVA Polina,手球;HBL;,女子组,银牌
10,ROC,ILINA Ekaterina,手球;HBL;,女子组,银牌
11,ROC,KALININA Viktoriia,手球;HBL;,女子组,银牌
12,ROC,KUZNETSOVA Polina,手球;HBL;,女子组,银牌
13,ROC,MAKEEVA Kseniia,手球;HBL;,女子组,银牌
14,ROC,MANAGAROVA Iuliia,手球;HBL;,女子组,银牌
15,ROC,MIKHAYLICHENKO Elena,手球;HBL;,女子组,银牌
16,ROC,SEDOYKINA Anna,手球;HBL;,女子组,银牌
17,ROC,SEN Anna,手球;HBL;,女子组,银牌
18,ROC,SKOROBOGATCHENKO Antonina,手球;HBL;,女子组,银牌
19,ROC,VEDEKHINA Polina,手球;HBL;,女子组,银牌
0,ROC,VYAKHIREVA Anna,手球;HBL;,女子组,银牌
1,澳大利亚,BEALE Daniel James,曲棍球;HOC;,男子组,银牌
2,澳大利亚,BELTZ Joshua,曲棍球;HOC;,男子组,银牌
3,澳大利亚,BRAND Tim,曲棍球;HOC;,男子组,银牌
4,澳大利亚,CHARTER Andrew Lewis,曲棍球;HOC;,男子组,银牌
5,澳大利亚,CRAIG Thomas William,曲棍球;HOC;,男子组,银牌
6,澳大利亚,DAWSON Matthew,曲棍球;HOC;,男子组,银牌
7,澳大利亚,GOVERS Blake,曲棍球;HOC;,男子组,银牌
8,澳大利亚,HAYWARD Jeremy Thomas,曲棍球;HOC;,男子组,银牌
9,澳大利亚,HOWARD Tim,曲棍球;HOC;,男子组,银牌
10,澳大利亚,MARTIN Dylan,曲棍球;HOC;,男子组,银牌
11,澳大利亚,MITTON Trent Grant,曲棍球;HOC;,男子组,银牌
12,澳大利亚,OCKENDEN Edward Clive,曲棍球;HOC;,男子组,银牌
13,澳大利亚,OGILVIE Flynn Andrew,曲棍球;HOC;,男子组,银牌
14,澳大利亚,SHARP Lachlan Thomas,曲棍球;HOC;,男子组,银牌
15,澳大利亚,SIMMONDS Joshua,曲棍球;HOC;,男子组,银牌
16,澳大利亚,WHETTON Jacob Thomas,曲棍球;HOC;,男子组,银牌
17,澳大利亚,WICKHAM Tom Joseph,曲棍球;HOC;,男子组,银牌
18,澳大利亚,ZALEWSKI Aran,曲棍球;HOC;,男子组,银牌
19,阿根廷,ALBERTARRIO Agustina,曲棍球;HOC;,女子组,银牌
0,阿根廷,ALONSO Agostina,曲棍球;HOC;,女子组,银牌
1,阿根廷,BARRIONUEVO Maria Noel,曲棍球;HOC;,女子组,银牌
2,阿根廷,COSTA BIONDI Valentina Isabel,曲棍球;HOC;,女子组,银牌
3,阿根廷,FORCHERIO Maria Emilia,曲棍球;HOC;,女子组,银牌
4,阿根廷,GORZELANY Agustina,曲棍球;HOC;,女子组,银牌
5,阿根廷,GRANATTO Maria Jose,曲棍球;HOC;,女子组,银牌
6,阿根廷,GRANATTO Maria Victoria,曲棍球;HOC;,女子组,银牌
7,阿根廷,JANKUNAS Julieta,曲棍球;HOC;,女子组,银牌
8,阿根廷,MACCARI Sofia,曲棍球;HOC;,女子组,银牌
9,阿根廷,MERINO Delfina,曲棍球;HOC;,女子组,银牌
10,阿根廷,RAPOSO RUIZ de los LLANOS Valentina,曲棍球;HOC;,女子组,银牌
11,阿根廷,RETEGUI Micaela,曲棍球;HOC;,女子组,银牌
12,阿根廷,SANCHEZ MOCCIA Rocio,曲棍球;HOC;,女子组,银牌
13,阿根廷,SAUZE VALDEZ Victoria,曲棍球;HOC;,女子组,银牌
14,阿根廷,SUCCI Maria Belen,曲棍球;HOC;,女子组,银牌
15,阿根廷,TOCCALINO Sofia,曲棍球;HOC;,女子组,银牌
16,阿根廷,TRINCHINETTI Eugenia Maria,曲棍球;HOC;,女子组,银牌
17,韩国,CHO Guham,柔道;JUD;,男子100公斤级,银牌
18,中华台北,YANG Yung Wei,柔道;JUD;,男子60公斤级,银牌
19,格鲁吉亚,MARGVELASHVILI Vazha,柔道;JUD;,男子66公斤级,银牌
0,格鲁吉亚,SHAVDATUASHVILI Lasha,柔道;JUD;,男子73公斤级,银牌
1,蒙古,MOLLAEI Saeid,柔道;JUD;,男子81公斤级,银牌
2,德国,TRIPPEL Eduard,柔道;JUD;,男子90公斤级,银牌
3,格鲁吉亚,TUSHISHVILI Guram,柔道;JUD;,男子100公斤以上级,银牌
4,日本,TONAKI Funa,柔道;JUD;,女子48公斤级,银牌
5,法国,BUCHARD Amandine,柔道;JUD;,女子52公斤级,银牌
6,法国,CYSIQUE Sarah Leonie,柔道;JUD;,女子57公斤级,银牌
7,斯洛文尼亚,TRSTENJAK Tina,柔道;JUD;,女子63公斤级,银牌
8,奥地利,POLLERES Michaela,柔道;JUD;,女子70公斤级,银牌
9,法国,MALONGA Madeleine,柔道;JUD;,女子78公斤级,银牌
10,古巴,ORTIZ Idalys,柔道;JUD;,女子78公斤以上级,银牌
